map,field,row,values
HPC,polyeff_Map,4,0.8024654856810874 0.8078523117216092 0.8104037684302612 0.8099156584546956 0.805819702765188 0.7977810896607979 0.7837245184984737 0.7615598744036112 0.7296507951864731 0.6861338051730891 0.6286943510749848
HPC,polyeff_Map,5,0.8211379671862128 0.8273376192579065 0.8308638138646919 0.8314371736612155 0.8286713996203002 0.8219881080157995 0.8096985302609814 0.7895856098032281 0.760201630573396 0.7198746289555144 0.6663840867108273
HPC,polyeff_Map,6,0.8484158248861828 0.8572199523468018 0.8632188242780614 0.8661488268792314 0.8655610658527766 0.8608923550279636 0.8504186320842971 0.8315447669895348 0.8028764224041327 0.7624933434383815 0.7079581726376138
HPC,polyeff_Map,7,0.8729281159236123 0.8828750098754315 0.8901377067566368 0.89439536418188 0.8953016086333054 0.8924004145136213 0.8838855448749634 0.8675030359764743 0.8418180950426133 0.8051970835184953 0.7554102642547044
HPC,polyeff_Map,8,0.8814498064509342 0.8910099233409657 0.8979419217255867 0.9021610631905873 0.9032567001634457 0.9008650897591939 0.8933855335788607 0.8787136077931861 0.8558768315301146 0.823340889735054 0.7791740869833554
HPC,polyeff_Map,9,0.8949559045764302 0.9018485558011772 0.9068465970207057 0.9097920126496976 0.9103634864054654 0.908447774235055 0.902901483734383 0.8923632235572878 0.8763328751233513 0.8538410353238605 0.824041586697758
HPC,polyeff_Map,10,0.8978038903939015 0.9023373779312268 0.9055219691610541 0.907128464779795 0.907066742142831 0.905238235343871 0.9009190611387062 0.8932762547198062 0.8818270149391518 0.8663521531039721 0.8462047068317955
HPC,polyeff_Map,11,0.9020029812453839 0.9035645463451254 0.9044561689033831 0.9046730344367927 0.9040632109470883 0.9026174998455013 0.9000230463344264 0.8960318227374429 0.8904689443949464 0.8832250175626428 0.8741827979018657
HPC,polyeff_Map,12,0.8846040169538093 0.8847220751935108 0.8845364469073805 0.8838998938382617 0.8829541540839995 0.8815505728088021 0.879607047542662 0.8770388605850507 0.8736911487748401 0.8696264602546703 0.8648329702560185
HPC,polyeff_Map,13,0.8656894358264 0.8651955505855748 0.8645487691993614 0.8637480062933783 0.8628645754071741 0.8617531857759582 0.8604099015365311 0.8589036103637295 0.8570143036372186 0.8548844976051894 0.8525122813259345
HPC,polyeff_Map,14,0.8127104933000054 0.8125213655055176 0.8123320603263592 0.8121424161910878 0.8119525922256474 0.8117625876991548 0.8115722394920338 0.8113094464580428 0.8111183854892902 0.8109269738184398 0.8107353736198438
