map,N,R,Wc,PR,polyeff,dWc_dN,dWc_dR,dPR_dN,dPR_dR,dpe_dN,dpe_dR
HPC,0.62,0.5,5.2355,2.1911613,0.38258351665398715,16.55000000000001,10.471,6.424965000000004,-0.021802600000000005,0.13595382956705437,0.7651670333079743
HPC,0.62,1.1,10.604800000000001,2.1548100000000003,0.768420586083199,32.99000000000001,1.3380000000000052,6.277999999999995,-0.25450000000000056,0.26225926244246356,0.03253552775224673
HPC,0.62,1.75,11.35415,1.9519000000000002,0.768409477593907,32.08250000000001,0.9969999999999999,5.43375,-0.35880000000000045,0.2570290204852217,-0.031590112612819875
HPC,0.62,2.2,11.735800000000001,1.77114,0.7336103560029781,31.239999999999995,0.7760000000000047,4.7570000000000014,-0.42569999999999913,0.35681452492783006,-0.10502728722321342
HPC,0.62,2.63,11.995370000000001,1.5596170000000003,0.6410432680342293,30.311000000000035,0.45899999999999747,4.024600000000001,-0.5381000000000011,0.6614550591334902,-0.34131026749239024
HPC,0.62,3.0,12.145800000000001,1.3559,0.4901798729536254,29.439999999999998,0.36200000000000326,3.360000000000001,-0.5611999999999996,1.218419693048598,-0.4642032480344864
HPC,0.62,3.5,12.206529000000003,1.17795,0.2450899364768127,29.587199999999996,0.12145800000000018,1.6799999999999997,-0.35590000000000005,0.609209846524299,-0.4901798729536254
HPC,0.805,0.5,9.700800000000001,4.070873100000001,0.41193287647810495,59.16000000000008,19.401600000000002,27.340020000000024,-0.040506200000000145,0.2727785769997002,0.8238657529562099
HPC,0.805,1.1,19.56205,3.9947700000000004,0.827095802761503,119.61000000000018,1.6044999999999934,26.88400000000003,-0.5585000000000009,0.5716019078886525,0.032300498052931115
HPC,0.805,1.75,20.384999999999998,3.5433075,0.8329973594284152,125.70000000000016,0.9819999999999909,23.46150000000003,-0.8025500000000005,0.7269032595772238,-0.012739863697346008
HPC,0.805,2.2,20.7101,3.1398,0.813770540443313,127.42000000000007,0.5974999999999953,19.720000000000027,-0.9499000000000022,0.8144020364663156,-0.06053996136851518
HPC,0.805,2.63,20.841890000000003,2.6717455,0.7584192183535694,127.29800000000017,0.07300000000001033,15.022100000000016,-1.175150000000001,0.8533276045711293,-0.20166304676334312
HPC,0.805,3.0,20.854300000000002,2.2298400000000003,0.670541495303506,127.06000000000012,0.0,10.568000000000012,-1.210649999999999,0.8314817185357324,-0.26797502550147556
HPC,0.805,3.5,20.958571500000005,1.6149200000000001,0.335270747651753,127.69530000000009,0.20854300000000167,5.284000000000006,-1.2298400000000003,0.4157408592678662,-0.670541495303506
HPC,1.0,0.5,26.616,12.3895395,0.45100149062269196,109.8399999999998,53.232,49.50629999999995,-0.12327900000000014,0.08398181702964891,0.9020029812453839
HPC,1.0,1.1,53.349000000000004,12.2045,0.9027837637952547,216.11999999999966,1.170000000000016,49.46399999999994,-1.2340000000000018,0.10852518530762012,0.007807825498707288
HPC,1.0,1.75,53.96075,11.295,0.9042156668195145,199.2199999999998,0.7450000000000045,54.82099999999991,-1.534000000000006,-0.11466023930230307,-0.0030491174485218764
HPC,1.0,2.2,54.216,10.5466,0.9000230463344264,194.31999999999994,0.4800000000000182,62.66399999999993,-1.7369999999999948,-0.03584059217119773,-0.012972267555374728
HPC,1.0,2.63,54.33284999999999,9.707005,0.8893823553701008,194.42799999999988,0.09499999999997044,73.67279999999994,-2.116500000000002,0.3950627882490423,-0.03621963416151708
HPC,1.0,3.0,54.35,8.9045,0.8741827979018657,195.07999999999993,0.005000000000052296,84.58799999999997,-2.2134999999999962,1.119123642802812,-0.045211098303885144
HPC,1.0,3.5,54.621750000000006,4.95225,0.43709139895093285,196.05539999999974,0.5435000000000016,42.29399999999998,-7.9045000000000005,0.559561821401406,-0.8741827979018657
HPC,1.12,0.5,30.019800000000004,13.816679700000002,0.41430208802896185,15.339999999999975,60.03960000000001,6.454110000000014,-0.1374793999999996,-0.26489471263197295,0.8286041760579237
HPC,1.12,1.1,60.05100000000001,13.712895000000001,0.8284638985437291,30.350000000000023,0.11399999999998109,7.118500000000012,-0.3504500000000068,-0.5282656380322592,-0.001402775141945154
